,formula,composition,compositions,number_element
20610,Li2Y,Li2 Y1,Li Y,4
20611,Li2Zn,Li2 Zn1,Li Zn,5
20612,Li2Zn3,Li2 Zn3,Li Zn,5
20613,Li2Zr,Li2 Zr1,Li Zr,5
20614,Li2Zr3,Li2 Zr3,Li Zr,5
20615,Li31F32,Li31 F32,Li F,4
20616,Li31F33,Li31 F33,Li F,4
20617,Li32F31,Li32 F31,Li F,4
20618,Li33F31,Li33 F31,Li F,4
20619,Li33F32,Li33 F32,Li F,4
20620,Li3Ac,Li3 Ac1,Li Ac,5
20621,Li3Ag,Li3 Ag1,Li Ag,5
20622,Li3Ag2,Li3 Ag2,Li Ag,5
20623,Li3Ag4,Li3 Ag4,Li Ag,5
20624,Li3Ag5,Li3 Ag5,Li Ag,5
20625,Li3Al,Li3 Al1,Li Al,5
20626,Li3Al2,Li3 Al2,Li Al,5
20627,Li3Al4,Li3 Al4,Li Al,5
20628,Li3Al5,Li3 Al5,Li Al,5
20629,Li3As,Li3 As1,Li As,5
20630,Li3As2,Li3 As2,Li As,5
20631,Li3As4,Li3 As4,Li As,5
20632,Li3As5,Li3 As5,Li As,5
20633,Li3As7,Li3 As7,Li As,5
20634,Li3Au,Li3 Au1,Li Au,5
20635,Li3Au2,Li3 Au2,Li Au,5
20636,Li3Au4,Li3 Au4,Li Au,5
20637,Li3Au5,Li3 Au5,Li Au,5
20638,Li3B,Li3 B1,Li B,4
20639,Li3B4,Li3 B4,Li B,4
20640,Li3B5,Li3 B5,Li B,4
20641,Li3Be,Li3 Be1,Li Be,5
20642,Li3Be2,Li3 Be2,Li Be,5
20643,Li3Be4,Li3 Be4,Li Be,5
20644,Li3Be5,Li3 Be5,Li Be,5
20645,Li3Bi,Li3 Bi1,Li Bi,5
20646,Li3Bi2,Li3 Bi2,Li Bi,5
20647,Li3Bi5,Li3 Bi5,Li Bi,5
20648,Li3Br,Li3 Br1,Li Br,5
20649,Li3Br2,Li3 Br2,Li Br,5
20650,Li3Br4,Li3 Br4,Li Br,5
20651,Li3C,Li3 C1,Li C,4
20652,Li3C2,Li3 C2,Li C,4
20653,Li3C4,Li3 C4,Li C,4
20654,Li3C5,Li3 C5,Li C,4
20655,Li3Ca,Li3 Ca1,Li Ca,5
20656,Li3Ca2,Li3 Ca2,Li Ca,5
20657,Li3Ca4,Li3 Ca4,Li Ca,5
20658,Li3Ca5,Li3 Ca5,Li Ca,5
20659,Li3Cd,Li3 Cd1,Li Cd,5
20660,Li3Cd2,Li3 Cd2,Li Cd,5
20661,Li3Ce,Li3 Ce1,Li Ce,5
20662,Li3Cl,Li3 Cl1,Li Cl,5
20663,Li3Cl2,Li3 Cl2,Li Cl,5
20664,Li3Cl4,Li3 Cl4,Li Cl,5
20665,Li3Cl5,Li3 Cl5,Li Cl,5
20666,Li3Co,Li3 Co1,Li Co,5
20667,Li3Co2,Li3 Co2,Li Co,5
20668,Li3Co4,Li3 Co4,Li Co,5
20669,Li3Co5,Li3 Co5,Li Co,5
20670,Li3Cr,Li3 Cr1,Li Cr,5
20671,Li3Cr2,Li3 Cr2,Li Cr,5
20672,Li3Cr5,Li3 Cr5,Li Cr,5
20673,Li3Cu,Li3 Cu1,Li Cu,5
20674,Li3Cu2,Li3 Cu2,Li Cu,5
20675,Li3Cu4,Li3 Cu4,Li Cu,5
20676,Li3Cu5,Li3 Cu5,Li Cu,5
20677,Li3Dy,Li3 Dy1,Li Dy,5
20678,Li3Er,Li3 Er1,Li Er,5
20679,Li3Eu,Li3 Eu1,Li Eu,5
20680,Li3F,Li3 F1,Li F,4
20681,Li3F2,Li3 F2,Li F,4
20682,Li3Fe,Li3 Fe1,Li Fe,5
20683,Li3Fe2,Li3 Fe2,Li Fe,5
20684,Li3Fe4,Li3 Fe4,Li Fe,5
20685,Li3Ga,Li3 Ga1,Li Ga,5
20686,Li3Ga14,Li3 Ga14,Li Ga,5
20687,Li3Ga2,Li3 Ga2,Li Ga,5
20688,Li3Ga4,Li3 Ga4,Li Ga,5
20689,Li3Ga5,Li3 Ga5,Li Ga,5
20690,Li3Ga7,Li3 Ga7,Li Ga,5
20691,Li3Gd,Li3 Gd1,Li Gd,5
20692,Li3Ge,Li3 Ge1,Li Ge,5
20693,Li3Ge2,Li3 Ge2,Li Ge,5
20694,Li3H,Li3 H1,Li H,4
20695,Li3Hf,Li3 Hf1,Li Hf,5
20696,Li3Hf2,Li3 Hf2,Li Hf,5
20697,Li3Hf4,Li3 Hf4,Li Hf,5
20698,Li3Hf5,Li3 Hf5,Li Hf,5
20699,Li3Hg,Li3 Hg1,Li Hg,5
20700,Li3Hg2,Li3 Hg2,Li Hg,5
20701,Li3Hg4,Li3 Hg4,Li Hg,5
20702,Li3Hg5,Li3 Hg5,Li Hg,5
20703,Li3Ho,Li3 Ho1,Li Ho,5
20704,Li3I,Li3 I1,Li I,4
20705,Li3I2,Li3 I2,Li I,4
20706,Li3In,Li3 In1,Li In,5
20707,Li3In2,Li3 In2,Li In,5
20708,Li3In4,Li3 In4,Li In,5
20709,Li3Ir,Li3 Ir1,Li Ir,5
20710,Li3Ir2,Li3 Ir2,Li Ir,5
20711,Li3Ir5,Li3 Ir5,Li Ir,5
20712,Li3La,Li3 La1,Li La,5
20713,Li3La2,Li3 La2,Li La,5
20714,Li3La4,Li3 La4,Li La,5
20715,Li3Lu,Li3 Lu1,Li Lu,5
20716,Li3Mg,Li3 Mg1,Li Mg,5
20717,Li3Mg2,Li3 Mg2,Li Mg,5
20718,Li3Mg4,Li3 Mg4,Li Mg,5
20719,Li3Mg5,Li3 Mg5,Li Mg,5
20720,Li3Mn,Li3 Mn1,Li Mn,5
20721,Li3Mn2,Li3 Mn2,Li Mn,5
20722,Li3Mn4,Li3 Mn4,Li Mn,5
20723,Li3Mn5,Li3 Mn5,Li Mn,5
20724,Li3Mo,Li3 Mo1,Li Mo,5
20725,Li3Mo2,Li3 Mo2,Li Mo,5
20726,Li3Mo4,Li3 Mo4,Li Mo,5
20727,Li3Mo5,Li3 Mo5,Li Mo,5
20728,Li3N,Li3 N1,Li N,4
20729,Li3N2,Li3 N2,Li N,4
20730,Li3Nb,Li3 Nb1,Li Nb,5
20731,Li3Nb2,Li3 Nb2,Li Nb,5
20732,Li3Nb4,Li3 Nb4,Li Nb,5
20733,Li3Nd,Li3 Nd1,Li Nd,5
20734,Li3Ni,Li3 Ni1,Li Ni,5
20735,Li3Ni2,Li3 Ni2,Li Ni,5
20736,Li3Ni5,Li3 Ni5,Li Ni,5
20737,Li3Np,Li3 Np1,Li Np,5
20738,Li3O,Li3 O1,Li O,4
20739,Li3Os,Li3 Os1,Li Os,5
20740,Li3Os2,Li3 Os2,Li Os,5
20741,Li3Os4,Li3 Os4,Li Os,5
20742,Li3P,Li3 P1,Li P,4
20743,Li3P2,Li3 P2,Li P,4
20744,Li3P4,Li3 P4,Li P,4
20745,Li3P5,Li3 P5,Li P,4
20746,Li3P7,Li3 P7,Li P,4
20747,Li3Pb,Li3 Pb1,Li Pb,5
20748,Li3Pb2,Li3 Pb2,Li Pb,5
20749,Li3Pb4,Li3 Pb4,Li Pb,5
20750,Li3Pb5,Li3 Pb5,Li Pb,5
20751,Li3Pd,Li3 Pd1,Li Pd,5
20752,Li3Pd2,Li3 Pd2,Li Pd,5
20753,Li3Pd4,Li3 Pd4,Li Pd,5
20754,Li3Pd5,Li3 Pd5,Li Pd,5
20755,Li3Pm,Li3 Pm1,Li Pm,5
20756,Li3Pr,Li3 Pr1,Li Pr,5
20757,Li3Pt,Li3 Pt1,Li Pt,5
20758,Li3Pt2,Li3 Pt2,Li Pt,5
20759,Li3Pt4,Li3 Pt4,Li Pt,5
20760,Li3Pt5,Li3 Pt5,Li Pt,5
20761,Li3Re,Li3 Re1,Li Re,5
20762,Li3Re2,Li3 Re2,Li Re,5
20763,Li3Re4,Li3 Re4,Li Re,5
20764,Li3Rh,Li3 Rh1,Li Rh,5
20765,Li3Rh2,Li3 Rh2,Li Rh,5
20766,Li3Rh4,Li3 Rh4,Li Rh,5
20767,Li3Ru,Li3 Ru1,Li Ru,5
20768,Li3Ru2,Li3 Ru2,Li Ru,5
20769,Li3Ru5,Li3 Ru5,Li Ru,5
20770,Li3S,Li3 S1,Li S,4
20771,Li3Sb,Li3 Sb1,Li Sb,5
20772,Li3Sb2,Li3 Sb2,Li Sb,5
20773,Li3Sb5,Li3 Sb5,Li Sb,5
20774,Li3Sc,Li3 Sc1,Li Sc,5
20775,Li3Sc2,Li3 Sc2,Li Sc,5
20776,Li3Sc4,Li3 Sc4,Li Sc,5
20777,Li3Se,Li3 Se1,Li Se,5
20778,Li3Se2,Li3 Se2,Li Se,5
20779,Li3Se4,Li3 Se4,Li Se,5
20780,Li3Se5,Li3 Se5,Li Se,5
20781,Li3Si,Li3 Si1,Li Si,5
20782,Li3Si4,Li3 Si4,Li Si,5
20783,Li3Si5,Li3 Si5,Li Si,5
20784,Li3Sm,Li3 Sm1,Li Sm,5
20785,Li3Sn,Li3 Sn1,Li Sn,5
20786,Li3Ta,Li3 Ta1,Li Ta,5
20787,Li3Ta4,Li3 Ta4,Li Ta,5
20788,Li3Ta5,Li3 Ta5,Li Ta,5
20789,Li3Tb,Li3 Tb1,Li Tb,5
20790,Li3Te,Li3 Te1,Li Te,5
20791,Li3Te2,Li3 Te2,Li Te,5
20792,Li3Te5,Li3 Te5,Li Te,5
20793,Li3Ti,Li3 Ti1,Li Ti,5
20794,Li3Ti5,Li3 Ti5,Li Ti,5
20795,Li3Tl,Li3 Tl1,Li Tl,5
20796,Li3Tl2,Li3 Tl2,Li Tl,5
20797,Li3Tl4,Li3 Tl4,Li Tl,5
20798,Li3Tl5,Li3 Tl5,Li Tl,5
20799,Li3Tm,Li3 Tm1,Li Tm,5
20800,Li3V,Li3 V1,Li V,4
20801,Li3V2,Li3 V2,Li V,4
20802,Li3V4,Li3 V4,Li V,4
20803,Li3W,Li3 W1,Li W,4
20804,Li3W4,Li3 W4,Li W,4
20805,Li3W5,Li3 W5,Li W,4
20806,Li3Y,Li3 Y1,Li Y,4
20807,Li3Y5,Li3 Y5,Li Y,4
20808,Li3Yb,Li3 Yb1,Li Yb,5
20809,Li3Zn,Li3 Zn1,Li Zn,5
20810,Li3Zn2,Li3 Zn2,Li Zn,5
20811,Li3Zn4,Li3 Zn4,Li Zn,5
20812,Li3Zr,Li3 Zr1,Li Zr,5
20813,Li3Zr2,Li3 Zr2,Li Zr,5
20814,Li3Zr5,Li3 Zr5,Li Zr,5
20815,Li4Ag,Li4 Ag1,Li Ag,5
20816,Li4Ag3,Li4 Ag3,Li Ag,5
20817,Li4Ag5,Li4 Ag5,Li Ag,5
20818,Li4Al,Li4 Al1,Li Al,5
20819,Li4Al3,Li4 Al3,Li Al,5
20820,Li4Al5,Li4 Al5,Li Al,5
20821,Li4As,Li4 As1,Li As,5
20822,Li4As3,Li4 As3,Li As,5
20823,Li4As5,Li4 As5,Li As,5
20824,Li4Au,Li4 Au1,Li Au,5
20825,Li4Au3,Li4 Au3,Li Au,5
20826,Li4Au5,Li4 Au5,Li Au,5
20827,Li4B,Li4 B1,Li B,4
20828,Li4B3,Li4 B3,Li B,4
20829,Li4B5,Li4 B5,Li B,4
20830,Li4Be,Li4 Be1,Li Be,5
20831,Li4Be5,Li4 Be5,Li Be,5
20832,Li4Bi,Li4 Bi1,Li Bi,5
20833,Li4Bi3,Li4 Bi3,Li Bi,5
20834,Li4Bi5,Li4 Bi5,Li Bi,5
20835,Li4Br,Li4 Br1,Li Br,5
20836,Li4C,Li4 C1,Li C,4
20837,Li4C3,Li4 C3,Li C,4
20838,Li4C5,Li4 C5,Li C,4
20839,Li4Ca,Li4 Ca1,Li Ca,5
20840,Li4Ca3,Li4 Ca3,Li Ca,5
20841,Li4Ca5,Li4 Ca5,Li Ca,5
20842,Li4Cd5,Li4 Cd5,Li Cd,5
20843,Li4Cl,Li4 Cl1,Li Cl,5
20844,Li4Co,Li4 Co1,Li Co,5
20845,Li4Co5,Li4 Co5,Li Co,5
20846,Li4Cr,Li4 Cr1,Li Cr,5
20847,Li4Cu,Li4 Cu1,Li Cu,5
20848,Li4Cu5,Li4 Cu5,Li Cu,5
20849,Li4Fe,Li4 Fe1,Li Fe,5
20850,Li4Fe3,Li4 Fe3,Li Fe,5
20851,Li4Fe5,Li4 Fe5,Li Fe,5
20852,Li4Ga,Li4 Ga1,Li Ga,5
20853,Li4Ga5,Li4 Ga5,Li Ga,5
20854,Li4Ge,Li4 Ge1,Li Ge,5
20855,Li4Hf,Li4 Hf1,Li Hf,5
20856,Li4Hf3,Li4 Hf3,Li Hf,5
20857,Li4Hf5,Li4 Hf5,Li Hf,5
20858,Li4Hg,Li4 Hg1,Li Hg,5
20859,Li4Hg3,Li4 Hg3,Li Hg,5
20860,Li4Hg5,Li4 Hg5,Li Hg,5
20861,Li4In,Li4 In1,Li In,5
20862,Li4In3,Li4 In3,Li In,5
20863,Li4In5,Li4 In5,Li In,5
20864,Li4Ir,Li4 Ir1,Li Ir,5
20865,Li4Ir3,Li4 Ir3,Li Ir,5
20866,Li4Ir5,Li4 Ir5,Li Ir,5
20867,Li4La,Li4 La1,Li La,5
20868,Li4La3,Li4 La3,Li La,5
20869,Li4La5,Li4 La5,Li La,5
20870,Li4Mg,Li4 Mg1,Li Mg,5
20871,Li4Mg3,Li4 Mg3,Li Mg,5
20872,Li4Mg5,Li4 Mg5,Li Mg,5
20873,Li4Mn,Li4 Mn1,Li Mn,5
20874,Li4Mn5,Li4 Mn5,Li Mn,5
20875,Li4Mo,Li4 Mo1,Li Mo,5
20876,Li4Mo3,Li4 Mo3,Li Mo,5
20877,Li4Nb,Li4 Nb1,Li Nb,5
20878,Li4Nb3,Li4 Nb3,Li Nb,5
20879,Li4Nb5,Li4 Nb5,Li Nb,5
20880,Li4Ni,Li4 Ni1,Li Ni,5
20881,Li4Os,Li4 Os1,Li Os,5
20882,Li4Os5,Li4 Os5,Li Os,5
20883,Li4P,Li4 P1,Li P,4
20884,Li4P3,Li4 P3,Li P,4
20885,Li4Pb,Li4 Pb1,Li Pb,5
20886,Li4Pb3,Li4 Pb3,Li Pb,5
20887,Li4Pb5,Li4 Pb5,Li Pb,5
20888,Li4Pd,Li4 Pd1,Li Pd,5
20889,Li4Pd3,Li4 Pd3,Li Pd,5
20890,Li4Pd5,Li4 Pd5,Li Pd,5
20891,Li4Pt,Li4 Pt1,Li Pt,5
20892,Li4Pt3,Li4 Pt3,Li Pt,5
20893,Li4Pt5,Li4 Pt5,Li Pt,5
20894,Li4Re,Li4 Re1,Li Re,5
20895,Li4Re5,Li4 Re5,Li Re,5
20896,Li4Rh,Li4 Rh1,Li Rh,5
20897,Li4Ru,Li4 Ru1,Li Ru,5
20898,Li4Ru3,Li4 Ru3,Li Ru,5
20899,Li4Ru5,Li4 Ru5,Li Ru,5
20900,Li4Sb,Li4 Sb1,Li Sb,5
20901,Li4Sb3,Li4 Sb3,Li Sb,5
20902,Li4Sc,Li4 Sc1,Li Sc,5
20903,Li4Sc3,Li4 Sc3,Li Sc,5
20904,Li4Se,Li4 Se1,Li Se,5
20905,Li4Se5,Li4 Se5,Li Se,5
20906,Li4Si,Li4 Si1,Li Si,5
20907,Li4Sn,Li4 Sn1,Li Sn,5
20908,Li4Sn5,Li4 Sn5,Li Sn,5
20909,Li4Ta,Li4 Ta1,Li Ta,5
20910,Li4Ta3,Li4 Ta3,Li Ta,5
20911,Li4Te,Li4 Te1,Li Te,5
20912,Li4Te3,Li4 Te3,Li Te,5
20913,Li4Ti,Li4 Ti1,Li Ti,5
20914,Li4Ti3,Li4 Ti3,Li Ti,5
20915,Li4Ti5,Li4 Ti5,Li Ti,5
20916,Li4Tl,Li4 Tl1,Li Tl,5
20917,Li4V,Li4 V1,Li V,4
20918,Li4V3,Li4 V3,Li V,4
20919,Li4W,Li4 W1,Li W,4
20920,Li4Y,Li4 Y1,Li Y,4
20921,Li4Y3,Li4 Y3,Li Y,4
20922,Li4Zn,Li4 Zn1,Li Zn,5
20923,Li4Zn3,Li4 Zn3,Li Zn,5
20924,Li4Zn5,Li4 Zn5,Li Zn,5
20925,Li4Zr,Li4 Zr1,Li Zr,5
20926,Li4Zr3,Li4 Zr3,Li Zr,5
20927,Li4Zr5,Li4 Zr5,Li Zr,5
20928,Li5Ag,Li5 Ag1,Li Ag,5
20929,Li5Ag24,Li5 Ag24,Li Ag,5
20930,Li5Ag3,Li5 Ag3,Li Ag,5
20931,Li5Ag4,Li5 Ag4,Li Ag,5
20932,Li5Al,Li5 Al1,Li Al,5
20933,Li5Al24,Li5 Al24,Li Al,5
20934,Li5Al3,Li5 Al3,Li Al,5
20935,Li5Al4,Li5 Al4,Li Al,5
20936,Li5As,Li5 As1,Li As,5
20937,Li5As3,Li5 As3,Li As,5
20938,Li5As4,Li5 As4,Li As,5
20939,Li5Au,Li5 Au1,Li Au,5
20940,Li5Au3,Li5 Au3,Li Au,5
20941,Li5Au4,Li5 Au4,Li Au,5
20942,Li5B,Li5 B1,Li B,4
20943,Li5B3,Li5 B3,Li B,4
20944,Li5B4,Li5 B4,Li B,4
20945,Li5Be,Li5 Be1,Li Be,5
20946,Li5Be3,Li5 Be3,Li Be,5
20947,Li5Be4,Li5 Be4,Li Be,5
20948,Li5Bi,Li5 Bi1,Li Bi,5
20949,Li5Br,Li5 Br1,Li Br,5
20950,Li5Br24,Li5 Br24,Li Br,5
20951,Li5Br3,Li5 Br3,Li Br,5
20952,Li5Br4,Li5 Br4,Li Br,5
20953,Li5C,Li5 C1,Li C,4
20954,Li5C24,Li5 C24,Li C,4
20955,Li5C3,Li5 C3,Li C,4
20956,Li5C4,Li5 C4,Li C,4
20957,Li5C7,Li5 C7,Li C,4
20958,Li5Ca,Li5 Ca1,Li Ca,5
20959,Li5Ca24,Li5 Ca24,Li Ca,5
20960,Li5Ca3,Li5 Ca3,Li Ca,5
20961,Li5Cd,Li5 Cd1,Li Cd,5
20962,Li5Cd3,Li5 Cd3,Li Cd,5
20963,Li5Cl,Li5 Cl1,Li Cl,5
20964,Li5Cl3,Li5 Cl3,Li Cl,5
20965,Li5Cl4,Li5 Cl4,Li Cl,5
20966,Li5Co,Li5 Co1,Li Co,5
20967,Li5Co24,Li5 Co24,Li Co,5
20968,Li5Co3,Li5 Co3,Li Co,5
20969,Li5Cr,Li5 Cr1,Li Cr,5
20970,Li5Cr24,Li5 Cr24,Li Cr,5
20971,Li5Cr3,Li5 Cr3,Li Cr,5
20972,Li5Cu,Li5 Cu1,Li Cu,5
20973,Li5Cu3,Li5 Cu3,Li Cu,5
20974,Li5Cu4,Li5 Cu4,Li Cu,5
20975,Li5Fe,Li5 Fe1,Li Fe,5
20976,Li5Fe24,Li5 Fe24,Li Fe,5
20977,Li5Fe4,Li5 Fe4,Li Fe,5
20978,Li5Ga,Li5 Ga1,Li Ga,5
20979,Li5Ga3,Li5 Ga3,Li Ga,5
20980,Li5Ga4,Li5 Ga4,Li Ga,5
20981,Li5Ge,Li5 Ge1,Li Ge,5
20982,Li5Ge3,Li5 Ge3,Li Ge,5
20983,Li5Hf,Li5 Hf1,Li Hf,5
20984,Li5Hf3,Li5 Hf3,Li Hf,5
20985,Li5Hf4,Li5 Hf4,Li Hf,5
20986,Li5Hg,Li5 Hg1,Li Hg,5
20987,Li5Hg3,Li5 Hg3,Li Hg,5
20988,Li5Hg4,Li5 Hg4,Li Hg,5
20989,Li5In,Li5 In1,Li In,5
20990,Li5In3,Li5 In3,Li In,5
20991,Li5In4,Li5 In4,Li In,5
20992,Li5Ir,Li5 Ir1,Li Ir,5
20993,Li5Ir3,Li5 Ir3,Li Ir,5
20994,Li5La,Li5 La1,Li La,5
20995,Li5La24,Li5 La24,Li La,5
20996,Li5La3,Li5 La3,Li La,5
20997,Li5La4,Li5 La4,Li La,5
20998,Li5Mg,Li5 Mg1,Li Mg,5
20999,Li5Mg3,Li5 Mg3,Li Mg,5
21000,Li5Mg4,Li5 Mg4,Li Mg,5
21001,Li5Mn,Li5 Mn1,Li Mn,5
21002,Li5Mn4,Li5 Mn4,Li Mn,5
21003,Li5Mo,Li5 Mo1,Li Mo,5
21004,Li5Mo24,Li5 Mo24,Li Mo,5
21005,Li5Mo3,Li5 Mo3,Li Mo,5
21006,Li5Mo4,Li5 Mo4,Li Mo,5
21007,Li5Nb,Li5 Nb1,Li Nb,5
21008,Li5Nb24,Li5 Nb24,Li Nb,5
21009,Li5Nb3,Li5 Nb3,Li Nb,5
21010,Li5Nb4,Li5 Nb4,Li Nb,5
21011,Li5Ni,Li5 Ni1,Li Ni,5
21012,Li5Ni3,Li5 Ni3,Li Ni,5
21013,Li5Ni4,Li5 Ni4,Li Ni,5
21014,Li5Os,Li5 Os1,Li Os,5
21015,Li5Os3,Li5 Os3,Li Os,5
21016,Li5P,Li5 P1,Li P,4
21017,Li5P24,Li5 P24,Li P,4
21018,Li5P3,Li5 P3,Li P,4
21019,Li5P4,Li5 P4,Li P,4
21020,Li5Pb,Li5 Pb1,Li Pb,5
21021,Li5Pb3,Li5 Pb3,Li Pb,5
21022,Li5Pb4,Li5 Pb4,Li Pb,5
21023,Li5Pd,Li5 Pd1,Li Pd,5
21024,Li5Pd24,Li5 Pd24,Li Pd,5
21025,Li5Pd3,Li5 Pd3,Li Pd,5
21026,Li5Pd4,Li5 Pd4,Li Pd,5
21027,Li5Pt,Li5 Pt1,Li Pt,5
21028,Li5Pt24,Li5 Pt24,Li Pt,5
21029,Li5Pt3,Li5 Pt3,Li Pt,5
21030,Li5Pt4,Li5 Pt4,Li Pt,5
21031,Li5Re,Li5 Re1,Li Re,5
21032,Li5Re3,Li5 Re3,Li Re,5
21033,Li5Re4,Li5 Re4,Li Re,5
21034,Li5Rh,Li5 Rh1,Li Rh,5
21035,Li5Rh24,Li5 Rh24,Li Rh,5
21036,Li5Rh4,Li5 Rh4,Li Rh,5
21037,Li5Ru,Li5 Ru1,Li Ru,5
21038,Li5Ru3,Li5 Ru3,Li Ru,5
21039,Li5Sb,Li5 Sb1,Li Sb,5
21040,Li5Sb24,Li5 Sb24,Li Sb,5
21041,Li5Sb3,Li5 Sb3,Li Sb,5
21042,Li5Sb4,Li5 Sb4,Li Sb,5
21043,Li5Sc,Li5 Sc1,Li Sc,5
21044,Li5Se,Li5 Se1,Li Se,5
21045,Li5Se3,Li5 Se3,Li Se,5
21046,Li5Se4,Li5 Se4,Li Se,5
21047,Li5Si,Li5 Si1,Li Si,5
21048,Li5Si24,Li5 Si24,Li Si,5
21049,Li5Si4,Li5 Si4,Li Si,5
21050,Li5Sn,Li5 Sn1,Li Sn,5
21051,Li5Sn2,Li5 Sn2,Li Sn,5
21052,Li5Sn4,Li5 Sn4,Li Sn,5
21053,Li5Ta,Li5 Ta1,Li Ta,5
21054,Li5Ta3,Li5 Ta3,Li Ta,5
21055,Li5Te,Li5 Te1,Li Te,5
21056,Li5Te3,Li5 Te3,Li Te,5
21057,Li5Ti,Li5 Ti1,Li Ti,5
21058,Li5Ti3,Li5 Ti3,Li Ti,5
21059,Li5Ti4,Li5 Ti4,Li Ti,5
21060,Li5Tl,Li5 Tl1,Li Tl,5
21061,Li5Tl2,Li5 Tl2,Li Tl,5
21062,Li5Tl24,Li5 Tl24,Li Tl,5
21063,Li5Tl3,Li5 Tl3,Li Tl,5
21064,Li5V,Li5 V1,Li V,4
21065,Li5V3,Li5 V3,Li V,4
21066,Li5W,Li5 W1,Li W,4
21067,Li5W3,Li5 W3,Li W,4
21068,Li5W4,Li5 W4,Li W,4
21069,Li5Y,Li5 Y1,Li Y,4
21070,Li5Y24,Li5 Y24,Li Y,4
21071,Li5Y3,Li5 Y3,Li Y,4
21072,Li5Y4,Li5 Y4,Li Y,4
21073,Li5Zn,Li5 Zn1,Li Zn,5
21074,Li5Zn24,Li5 Zn24,Li Zn,5
21075,Li5Zn3,Li5 Zn3,Li Zn,5
21076,Li5Zr,Li5 Zr1,Li Zr,5
21077,Li5Zr24,Li5 Zr24,Li Zr,5
21078,Li5Zr4,Li5 Zr4,Li Zr,5
21079,Li63O32,Li63 O32,Li O,4
21080,Li64O31,Li64 O31,Li O,4
21081,Li65O31,Li65 O31,Li O,4
21082,Li65O32,Li65 O32,Li O,4
21083,Li6Ag7,Li6 Ag7,Li Ag,5
21084,Li6Al7,Li6 Al7,Li Al,5
21085,Li6B7,Li6 B7,Li B,4
21086,Li6Be7,Li6 Be7,Li Be,5
21087,Li6Br7,Li6 Br7,Li Br,5
21088,Li6C7,Li6 C7,Li C,4
21089,Li6Ca7,Li6 Ca7,Li Ca,5
21090,Li6Cl7,Li6 Cl7,Li Cl,5
21091,Li6Cu7,Li6 Cu7,Li Cu,5
21092,Li6Hg7,Li6 Hg7,Li Hg,5
21093,Li6In7,Li6 In7,Li In,5
21094,Li6Ir7,Li6 Ir7,Li Ir,5
21095,Li6La7,Li6 La7,Li La,5
21096,Li6Mn7,Li6 Mn7,Li Mn,5
21097,Li6P7,Li6 P7,Li P,4
21098,Li6Pb7,Li6 Pb7,Li Pb,5
21099,Li6Pd7,Li6 Pd7,Li Pd,5
21100,Li6Se7,Li6 Se7,Li Se,5
21101,Li6Si7,Li6 Si7,Li Si,5
21102,Li6Te7,Li6 Te7,Li Te,5
21103,Li6Ti7,Li6 Ti7,Li Ti,5
21104,Li7Ag,Li7 Ag1,Li Ag,5
21105,Li7Ag6,Li7 Ag6,Li Ag,5
21106,Li7Al6,Li7 Al6,Li Al,5
21107,Li7As,Li7 As1,Li As,5
21108,Li7As6,Li7 As6,Li As,5
21109,Li7Au,Li7 Au1,Li Au,5
21110,Li7B,Li7 B1,Li B,4
21111,Li7B6,Li7 B6,Li B,4
21112,Li7Be6,Li7 Be6,Li Be,5
21113,Li7Bi,Li7 Bi1,Li Bi,5
21114,Li7C,Li7 C1,Li C,4
21115,Li7C120,Li7 C120,Li C,4
21116,Li7C5,Li7 C5,Li C,4
21117,Li7C6,Li7 C6,Li C,4
21118,Li7Ca6,Li7 Ca6,Li Ca,5
21119,Li7Cd,Li7 Cd1,Li Cd,5
21120,Li7Cl,Li7 Cl1,Li Cl,5
21121,Li7Cl6,Li7 Cl6,Li Cl,5
21122,Li7Co,Li7 Co1,Li Co,5
21123,Li7Co6,Li7 Co6,Li Co,5
21124,Li7Cr6,Li7 Cr6,Li Cr,5
21125,Li7Fe,Li7 Fe1,Li Fe,5
21126,Li7Fe6,Li7 Fe6,Li Fe,5
21127,Li7Ge,Li7 Ge1,Li Ge,5
21128,Li7Ge2,Li7 Ge2,Li Ge,5
21129,Li7Hf,Li7 Hf1,Li Hf,5
21130,Li7Hg,Li7 Hg1,Li Hg,5
21131,Li7In6,Li7 In6,Li In,5
21132,Li7Ir,Li7 Ir1,Li Ir,5
21133,Li7La,Li7 La1,Li La,5
21134,Li7Mg,Li7 Mg1,Li Mg,5
21135,Li7Mn,Li7 Mn1,Li Mn,5
21136,Li7Mo6,Li7 Mo6,Li Mo,5
21137,Li7Nb,Li7 Nb1,Li Nb,5
21138,Li7Nb6,Li7 Nb6,Li Nb,5
21139,Li7Ni6,Li7 Ni6,Li Ni,5
21140,Li7P6,Li7 P6,Li P,4
21141,Li7Pb2,Li7 Pb2,Li Pb,5
21142,Li7Pd,Li7 Pd1,Li Pd,5
21143,Li7Pd6,Li7 Pd6,Li Pd,5
21144,Li7Pt,Li7 Pt1,Li Pt,5
21145,Li7Pt6,Li7 Pt6,Li Pt,5
21146,Li7Re6,Li7 Re6,Li Re,5
21147,Li7Rh6,Li7 Rh6,Li Rh,5
21148,Li7Ru,Li7 Ru1,Li Ru,5
21149,Li7Sc,Li7 Sc1,Li Sc,5
21150,Li7Se,Li7 Se1,Li Se,5
